"","(1)","(2)","(3)","(4)","(5)","(6)"
"","Social","Social inward","Social outward","Analytical","Routine","Manual"
"Woman","0.351***","0.148","0.366***","-0.033","0.058","-0.227**"
"","[0.11]","[0.10]","[0.12]","[0.11]","[0.11]","[0.10]"
"","(0.17,0.54)","(-0.02,0.31)","(0.17,0.56)","(-0.21,0.14)","(-0.12,0.24)","(-0.39,-0.07)"
"Age:","","","","","",""
"20-29","-0.149**","-0.080","-0.150**","0.002","0.085","0.080"
"","[0.06]","[0.07]","[0.06]","[0.08]","[0.09]","[0.09]"
"","(-0.25,-0.04)","(-0.20,0.04)","(-0.26,-0.04)","(-0.13,0.14)","(-0.07,0.24)","(-0.06,0.22)"
"30-39","-0.202***","-0.026","-0.226***","0.009","0.022","0.083"
"","[0.08]","[0.09]","[0.08]","[0.10]","[0.11]","[0.11]"
"","(-0.33,-0.08)","(-0.17,0.12)","(-0.36,-0.09)","(-0.15,0.17)","(-0.17,0.21)","(-0.10,0.27)"
"40-49","-0.186**","0.028","-0.221**","-0.040","-0.032","0.133"
"","[0.09]","[0.10]","[0.10]","[0.10]","[0.12]","[0.13]"
"","(-0.34,-0.03)","(-0.14,0.20)","(-0.38,-0.06)","(-0.21,0.13)","(-0.23,0.17)","(-0.08,0.35)"
"50-59","-0.237**","-0.024","-0.267**","-0.119","-0.010","0.215"
"","[0.10]","[0.11]","[0.10]","[0.11]","[0.13]","[0.15]"
"","(-0.40,-0.07)","(-0.21,0.16)","(-0.44,-0.09)","(-0.30,0.06)","(-0.22,0.20)","(-0.03,0.46)"
"60+","-0.292***","-0.035","-0.327***","-0.175","0.032","0.224"
"","[0.11]","[0.12]","[0.12]","[0.12]","[0.14]","[0.16]"
"","(-0.48,-0.11)","(-0.24,0.17)","(-0.52,-0.14)","(-0.38,0.03)","(-0.19,0.26)","(-0.04,0.49)"
"Education level","","","","","",""
"Upper or post-secondary","0.196***","0.214***","0.169**","0.252***","-0.059","-0.313***"
"","[0.07]","[0.05]","[0.07]","[0.06]","[0.05]","[0.08]"
"","(0.09,0.31)","(0.13,0.30)","(0.06,0.28)","(0.16,0.35)","(-0.15,0.03)","(-0.45,-0.18)"
"Any tertiary","0.615***","0.617***","0.544***","0.877***","-0.819***","-1.019***"
"","[0.19]","[0.18]","[0.20]","[0.17]","[0.19]","[0.17]"
"","(0.30,0.93)","(0.33,0.91)","(0.22,0.87)","(0.60,1.16)","(-1.13,-0.51)","(-1.30,-0.74)"
"Tenure","0.010***","0.011***","0.009**","0.011***","-0.008***","-0.012***"
"","[0.00]","[0.00]","[0.00]","[0.00]","[0.00]","[0.00]"
"","(0.00,0.02)","(0.01,0.02)","(0.00,0.02)","(0.01,0.02)","(-0.01,-0.00)","(-0.02,-0.01)"
"Industry","","","","","",""
"Construction","0.092*","0.229**","0.045","0.262***","0.219**","0.190"
"","[0.05]","[0.11]","[0.04]","[0.08]","[0.10]","[0.19]"
"","(0.01,0.18)","(0.05,0.40)","(-0.02,0.11)","(0.12,0.40)","(0.05,0.39)","(-0.13,0.51)"
"Market services","0.416***","0.412***","0.369***","0.307**","-0.050","-0.444***"
"","[0.09]","[0.12]","[0.09]","[0.13]","[0.12]","[0.13]"
"","(0.26,0.57)","(0.22,0.60)","(0.22,0.52)","(0.08,0.53)","(-0.25,0.15)","(-0.66,-0.23)"
"Non-market services","1.055***","0.567***","1.059***","-0.213","-0.347*","-0.362***"
"","[0.23]","[0.17]","[0.25]","[0.17]","[0.20]","[0.13]"
"","(0.68,1.43)","(0.29,0.85)","(0.65,1.47)","(-0.49,0.06)","(-0.67,-0.02)","(-0.58,-0.15)"
"Firm over 50 employees","-0.041","-0.059","-0.033","0.068","0.133","-0.016"
"","[0.07]","[0.10]","[0.08]","[0.05]","[0.09]","[0.03]"
"","(-0.16,0.07)","(-0.22,0.10)","(-0.16,0.10)","(-0.01,0.15)","(-0.02,0.28)","(-0.07,0.04)"
"Full time position","-0.036","-0.004","-0.042","0.120**","-0.060","-0.097"
"","[0.07]","[0.06]","[0.07]","[0.06]","[0.07]","[0.07]"
"","(-0.14,0.07)","(-0.10,0.10)","(-0.16,0.07)","(0.02,0.22)","(-0.17,0.05)","(-0.21,0.02)"
"Country","","","","","",""
"CZ","-0.043","-0.008","-0.046","0.156***","0.051","-0.018"
"","[0.06]","[0.06]","[0.06]","[0.06]","[0.05]","[0.05]"
"","(-0.14,0.05)","(-0.11,0.10)","(-0.14,0.05)","(0.06,0.25)","(-0.03,0.13)","(-0.11,0.07)"
"DK","0.201**","0.096","0.208*","0.120","0.029","-0.060"
"","[0.09]","[0.08]","[0.11]","[0.08]","[0.13]","[0.06]"
"","(0.05,0.35)","(-0.03,0.23)","(0.03,0.39)","(-0.01,0.25)","(-0.18,0.24)","(-0.16,0.04)"
"EE","-0.051","-0.039","-0.048","0.087*","0.041","0.030"
"","[0.05]","[0.07]","[0.05]","[0.05]","[0.06]","[0.05]"
"","(-0.13,0.03)","(-0.15,0.07)","(-0.13,0.03)","(0.00,0.17)","(-0.07,0.15)","(-0.06,0.12)"
"FR","-0.167","-0.025","-0.183*","0.103","0.151","0.078"
"","[0.10]","[0.09]","[0.10]","[0.08]","[0.10]","[0.10]"
"","(-0.33,0.00)","(-0.17,0.12)","(-0.35,-0.02)","(-0.03,0.24)","(-0.02,0.32)","(-0.09,0.24)"
"GR","0.197*","0.008","0.227*","-0.125*","0.260","-0.027"
"","[0.10]","[0.10]","[0.13]","[0.07]","[0.22]","[0.09]"
"","(0.03,0.36)","(-0.15,0.17)","(0.02,0.44)","(-0.24,-0.01)","(-0.10,0.62)","(-0.17,0.11)"
"IT","0.063","0.129","0.040","0.043","0.166","-0.194***"
"","[0.13]","[0.10]","[0.14]","[0.07]","[0.21]","[0.06]"
"","(-0.16,0.28)","(-0.04,0.30)","(-0.20,0.28)","(-0.08,0.16)","(-0.18,0.51)","(-0.29,-0.10)"
"LT","-0.041","0.009","-0.048","0.091*","-0.068","0.082"
"","[0.04]","[0.05]","[0.05]","[0.05]","[0.06]","[0.06]"
"","(-0.11,0.03)","(-0.07,0.08)","(-0.12,0.03)","(0.01,0.17)","(-0.17,0.04)","(-0.01,0.18)"
"LV","-0.071","0.158","-0.123**","0.069","-0.172","-0.001"
"","[0.06]","[0.18]","[0.06]","[0.04]","[0.15]","[0.05]"
"","(-0.17,0.03)","(-0.14,0.46)","(-0.22,-0.03)","(-0.01,0.14)","(-0.42,0.07)","(-0.08,0.08)"
"NO","0.284***","0.287***","0.252**","0.299***","-0.091","-0.134**"
"","[0.10]","[0.08]","[0.11]","[0.08]","[0.09]","[0.06]"
"","(0.12,0.45)","(0.15,0.42)","(0.07,0.43)","(0.16,0.44)","(-0.23,0.05)","(-0.24,-0.03)"
"PL","0.036","0.052","0.028","0.051","-0.104**","0.017"
"","[0.04]","[0.05]","[0.05]","[0.04]","[0.05]","[0.04]"
"","(-0.04,0.11)","(-0.02,0.13)","(-0.05,0.11)","(-0.02,0.12)","(-0.18,-0.03)","(-0.05,0.09)"
"SK","-0.021","-0.034","-0.014","0.090*","0.027","-0.019"
"","[0.05]","[0.04]","[0.06]","[0.05]","[0.05]","[0.04]"
"","(-0.11,0.07)","(-0.10,0.04)","(-0.11,0.08)","(0.01,0.17)","(-0.05,0.11)","(-0.09,0.05)"
"UK","0.085","0.083","0.077","0.194***","-0.009","-0.134**"
"","[0.07]","[0.08]","[0.08]","[0.07]","[0.07]","[0.07]"
"","(-0.04,0.21)","(-0.05,0.22)","(-0.05,0.20)","(0.08,0.31)","(-0.13,0.11)","(-0.24,-0.03)"
"Constant","-0.840***","-0.834***","-0.743***","-0.767***","0.369*","0.966***"
"","[0.19]","[0.20]","[0.20]","[0.20]","[0.20]","[0.19]"
"","(-1.16,-0.52)","(-1.16,-0.51)","(-1.08,-0.41)","(-1.10,-0.43)","(0.04,0.70)","(0.65,1.29)"
"R-squared","0.295","0.140","0.283","0.174","0.184","0.305"
"RMSE","0.952","0.971","0.978","0.897","0.991","0.774"
"BIC","28307128","28734908","28884368","27083224","29151529","24045510"
